City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,Ust'-Kut,56.79,105.77,67.78,53,100,1.86,RU,1595811085
316,Yarim,14.3,44.38,58.44,84,100,1.81,YE,1595811085
317,Calbuco,-41.77,-73.13,39.2,80,20,4.7,CL,1595811086
318,Kuala Terengganu,5.33,103.14,80.6,83,20,5.82,MY,1595810957
319,Evanston,42.04,-87.69,91.4,49,40,16.11,US,1595811029
320,La Ronge,55.1,-105.28,73.4,53,40,13.87,CA,1595811086
321,Consett,54.85,-1.83,57.99,85,100,4.63,GB,1595811087
322,Elektrėnai,54.77,24.63,61.0,82,12,2.24,LT,1595811087
323,Ndélé,8.41,20.65,67.57,97,45,3.33,CF,1595811088
324,Yumen,40.28,97.2,78.08,18,0,7.85,CN,1595811022
325,Weligama,5.97,80.42,78.84,86,100,13.27,LK,1595811088
326,Verkhoyansk,67.54,133.38,71.78,34,1,13.0,RU,1595811088
327,Okato,-39.2,173.88,54.0,62,0,4.0,NZ,1595811089
328,Altamont,42.21,-121.74,93.0,15,1,3.36,US,1595811089
329,Ust'-Koksa,50.27,85.61,56.39,75,100,0.65,RU,1595811089
330,Port-Cartier,50.03,-66.87,68.0,68,75,4.7,CA,1595811089
331,Mareeba,-17.0,145.43,80.01,44,0,10.29,AU,1595811090
332,Horconcitos,8.47,-81.8,69.33,95,100,1.57,PA,1595811090
333,Gawler,-34.6,138.73,54.0,95,95,1.99,AU,1595811090
334,Eirunepé,-6.66,-69.87,74.52,80,0,1.36,BR,1595811090
335,Severo-Kuril'sk,50.68,156.12,52.95,86,100,16.82,RU,1595811091
336,Sioux Lookout,50.1,-91.92,77.0,38,40,4.7,CA,1595811070
337,Broni,45.07,9.26,73.0,88,0,0.51,IT,1595811091
338,San Andrés,12.58,-81.7,82.4,78,75,10.29,CO,1595811091
339,Marabba,12.35,32.18,78.48,73,100,12.84,SD,1595811092
340,Balaipungut,1.05,101.28,77.0,88,40,3.4,ID,1595811092
341,Nushki,29.55,66.02,78.87,56,0,4.9,PK,1595811092
342,Pacific Grove,36.62,-121.92,71.01,68,1,11.41,US,1595811092
343,Tiznit Province,29.58,-9.5,75.25,54,0,1.99,MA,1595811093
344,Pangoa,-12.12,-73.0,67.3,84,0,2.42,PE,1595811093
345,Borogontsy,62.67,131.17,68.41,62,100,4.63,RU,1595811093
346,Altamira,-3.2,-52.21,77.94,56,6,2.21,BR,1595811094
